erp_id,province_code,lat,long,sales
266,QC,45.544699,-73.5882083,0.977835855
275,QC,45.4924311,-73.6327222,0.243729838
288,QC,45.4828119,-73.579699,-4.460253087
3066,QC,45.4828196,-73.5796493,1.384293745
291,QC,45.5198475,-73.505356,6.620007532
293,QC,46.6134523,-72.6936862,-0.844733928
297,QC,45.555593,-73.667276,0.307231933
299,QC,45.5312819,-73.5809405,-0.395483367
308,QC,45.7466418,-73.4630257,0.684391893
313,QC,48.2431951,-79.0406838,0.25226355
319,QC,45.5303682,-73.6085368,0.188399445
320,QC,45.5181859,-73.5065236,-0.001354169
332,QC,46.6039185,-72.7088415,-0.244777627
335,QC,45.4771829,-73.5873754,-0.804617262
341,QC,45.5438335,-73.577163,1.308822168
355,QC,45.4917662,-73.4197238,-0.719538525
358,QC,46.8392771,-71.239331,-0.560393038
359,QC,45.4827055,-73.57857,0.065084693
366,QC,45.4635801,-73.5831545,0.872714181
375,QC,46.5696182,-72.7634128,0.02556451
387,QC,46.8047293,-71.2439177,0.853019802
389,QC,46.8544127,-71.2765315,-0.049223065
397,QC,45.4800939,-73.5588124,-0.062017212
406,QC,45.4814162,-73.5641863,-0.373635435
428,QC,45.4971712,-73.4105832,0.251874337
436,QC,48.430718,-68.5839784,-0.778814889
447,QC,45.5128081,-73.4772373,-0.324176519
450,QC,45.453583,-73.6372269,1.844268797
451,QC,45.5408907,-73.5880042,2.519292537
466,QC,45.4893259,-73.4915722,0.281812859
468,QC,46.8199384,-71.2574357,-0.337509549
473,QC,45.4894817,-73.5721152,-0.436322521
475,QC,45.5381124,-73.6058333,-0.272170473
492,QC,45.5198556,-73.5628875,-1.018990594
501,QC,45.5406272,-73.6535734,-1.6912525
504,QC,45.500983,-73.567613,-1.05268369
4984,QC,45.5004679,-73.5675448,-1.183990258
509,QC,45.5166438,-73.5664966,-0.788190795
5277,QC,45.5166229,-73.5662941,-0.510399141
511,QC,46.8136071,-71.2262251,-0.535597402
521,QC,45.76434,-73.4760087,0.260828891
533,QC,46.5199391,-72.7447355,-1.367214678
534,QC,46.7885793,-71.2708805,-2.15362726
547,QC,46.8052664,-71.2213246,0.227679219
552,QC,46.7757675,-71.3110456,-0.171761756
558,QC,46.8208359,-71.2682532,-0.204541067
563,QC,46.8555075,-71.2792974,-1.54237682
579,QC,46.8028996,-71.2242526,1.170546103
581,QC,45.5239867,-73.594378,0.013789252
588,QC,45.5375357,-73.6780625,-0.379537406
592,QC,46.7710103,-71.3198289,-0.923844394
5365,QC,46.7710729,-71.3195043,-1.330856719
598,QC,45.5301861,-73.5819472,-0.219673578
602,QC,46.6072798,-72.7037228,-0.50322834
605,QC,45.5214552,-73.5048386,2.254013598
606,QC,45.5228806,-73.4863985,-0.58488769
618,QC,45.515708,-73.5559744,-0.493368425
622,QC,45.5288212,-73.587656,0.045717556
624,QC,45.5341978,-73.6094541,1.349115549
628,QC,45.5218577,-73.5818224,2.566863718
643,QC,45.5302597,-73.5669386,-1.263392755
658,QC,45.510577,-73.5519675,0.081426185
665,QC,45.7693036,-73.4461179,0.976557351
670,QC,46.8965297,-71.2072578,-0.096835713
674,QC,45.4733304,-73.5883987,-0.177123251
675,QC,45.5468442,-73.642592,-0.634468288
680,QC,45.5100597,-73.6126121,2.436092507
684,QC,46.8368679,-71.23657,-0.717810135
687,QC,45.514549,-73.572264,-2.413730027
692,QC,46.8325222,-71.2418861,-0.039054054
701,QC,46.8011869,-71.2260403,2.131060716
705,QC,45.5356678,-73.698998,1.464406479
